atraso,edad,dias_lab,exp_sf,nivel_ahorro,ingreso,linea_sf,deuda_sf,score,clasif_sbs,nivel_educ,vivienda_ALQUILADA,vivienda_FAMILIAR,vivienda_PROPIA
22,41,8588,32.40158319378901,12,3500.0,960.44,9292.34,175,1,3,False,True,False
0,24,4690,8.0,12,900.0,1500.0,254.32,164,0,3,False,True,False
0,33,5179,32.40158319378901,12,1650.0,11987.241038228825,0.0,180,0,2,False,True,False
0,40,4721,29.0,12,2700.0,6795.9,2121.91,214,1,0,False,False,True
2,47,4264,32.40158319378901,12,3500.0,17100.0,9741.64,180,0,3,False,True,False
50,23,4904,47.0,12,710.0,500.0,484.3,154,4,2,False,True,False
0,31,6425,68.0,12,6600.0,14638.48,2426.45,219,3,3,False,True,False
0,49,8404,9.0,10,2000.0,16842.18,3229.93,235,0,2,False,False,True
0,37,6943,32.40158319378901,12,1000.0,606.2,914.72,179,0,2,False,True,False
0,34,4264,58.0,12,700.0,17672.0,109.09,177,1,3,False,True,False
0,26,5482,32.40158319378901,12,2900.0,1057.88,418.81,201,4,3,False,True,False
2,40,5970,47.0,12,3680.0,1210.8,866.89,204,1,2,False,True,False
0,36,7096,9.0,0,4750.0,67853.78,1732.59,202,0,3,False,True,False
9,48,6456,48.0,12,30000.0,66510.12,22844.04,197,0,1,False,True,False
0,30,5513,32.40158319378901,12,3100.0,3463.73,0.0,185,1,3,False,True,False
0,34,5176,32.40158319378901,12,829.09,4467.68,567.14,196,0,2,False,True,False
0,30,4417,7.0,12,3000.0,1131.53,1865.25,214,0,3,False,False,True
2,30,3779,8.0,12,4000.0,3995.0,3664.5,200,1,3,False,True,False
0,30,5574,32.40158319378901,1,2984.62,4668.14,2719.79,196,0,3,False,True,False
0,29,7308,78.0,11,3500.0,1800.0,0.0,211,1,2,False,True,False
17,49,5026,32.40158319378901,8,2600.0,29864.68,0.0,197,1,2,False,True,False
0,31,4325,16.0,12,1789.14,2280.0,598.58,192,0,2,False,True,False
0,34,8374,88.0,11,29393.13,11987.241038228825,0.0,190,0,3,False,True,False
0,26,5087,32.40158319378901,12,2270.0,11987.241038228825,0.0,186,0,2,False,True,False
0,52,5605,32.40158319378901,12,888.44,11987.241038228825,3444.88,173,0,2,False,True,False
1,29,3565,32.40158319378901,12,1200.0,1804.83,2389.82,190,0,3,False,True,False
27,33,5360,22.0,12,6620.0,7231.35,1466.23,200,1,3,False,True,False
0,41,7643,13.0,12,6205.0,260.0,0.0,205,0,3,False,True,False
22,32,5300,40.0,11,2555.0,13406.8,106.25,175,1,3,False,True,False
0,33,5939,32.40158319378901,12,2683.55,280.12,2073.88,209,1,2,False,False,True
0,31,4021,12.0,12,2000.0,8804.02,0.0,188,0,3,False,True,False
0,44,5209,26.0,0,21000.0,22638.17,280.45,224,0,3,False,False,True
20,29,3712,10.0,12,974.73,900.0,1435.47,194,0,2,False,False,True
2,45,5539,32.40158319378901,12,2843.67,3519.86,6017.92,197,1,2,False,True,False
0,26,5725,28.0,12,7000.0,11735.0,187.03,184,0,2,False,True,False
2,37,6821,32.0,12,1650.0,600.0,544.72,182,0,2,False,True,False
0,29,4295,12.0,11,800.0,11987.241038228825,0.0,173,0,2,False,True,False
0,41,4874,27.0,12,2500.0,6151.97,0.0,216,1,2,False,True,False
0,35,7127,30.0,12,2200.0,4834.49,1889.38,210,1,3,False,True,False
1,30,3687,32.40158319378901,12,2319.21,3340.0,12878.26,190,3,2,False,True,False
0,28,4721,32.40158319378901,12,2000.0,11987.241038228825,4160.93,207,0,3,False,True,False
3,38,4386,48.0,10,7000.0,22184.27,0.0,216,0,3,False,True,False
38,36,5360,66.0,3,3050.0,11987.241038228825,120.69,195,2,3,False,True,False
0,30,4570,11.0,12,2750.0,2707.1,3109.59,219,0,3,False,False,True
25,21,4144,16.0,12,2100.0,1735.0,480.38,195,1,3,False,True,False
0,30,3581,32.40158319378901,12,2690.91,1056.0,14147.63,211,0,2,False,False,True
0,53,6425,18.0,12,2500.0,4290.0,1446.97,216,0,2,False,False,True
2,37,5694,4.0,12,1390.0,9305.18,2729.88,177,0,2,False,True,False
8,29,3565,18.0,0,6710.0,24248.45,0.0,174,0,1,False,True,False
0,63,8282,86.0,6,9180.0,103670.06,29137.51,213,1,3,False,False,True
0,46,4448,32.40158319378901,12,5500.0,11987.241038228825,0.0,219,0,3,False,True,False
0,43,4893,11.0,12,2278.74,11987.241038228825,17260.53,204,0,2,False,False,True
0,21,3626,32.40158319378901,12,900.0,720.0,602.64,156,0,2,False,True,False
23,27,5329,61.0,12,2450.0,2250.0,5274.35,205,4,2,False,True,False
2,32,4690,32.40158319378901,12,894.65,11987.241038228825,1518.81,175,0,2,False,True,False
1,28,5209,32.40158319378901,1,1900.0,2429.0,4882.17,161,1,3,False,True,False
0,40,4083,119.0,12,5200.0,30770.0,4627.65,224,2,3,False,False,True
2,35,6425,40.0,12,3200.0,983.76,9011.3,187,0,2,False,True,False
5,28,3595,76.0,0,3500.0,4843.53,37.61,175,0,3,False,True,False
0,29,5666,22.0,12,1131.17,11987.241038228825,475.69,186,0,2,False,True,False
1,32,4083,32.40158319378901,12,1874.7,8445.0,5747.96,188,0,3,False,True,False
0,26,4448,32.40158319378901,12,2000.0,11987.241038228825,2124.88,174,0,2,False,True,False
0,22,4205,19.0,12,2100.0,1000.0,4814.01,190,0,3,False,True,False
0,52,6456,96.0,10,13500.0,14334.66,16037.38,205,0,3,False,True,False
0,24,4144,23.0,12,2500.0,2400.0,16676.98,181,0,3,False,True,False
0,30,5270,12.0,12,3000.0,1104.98,583.48,219,0,3,False,True,False
4,39,5360,32.40158319378901,11,2800.0,11987.241038228825,57094.38,194,0,3,False,True,False
0,29,6090,14.0,12,3000.0,2357.89,0.0,194,1,3,False,True,False
0,42,5725,87.0,0,6000.0,12820.12,646.47,180,0,3,False,True,False
0,30,5360,45.0,12,1800.0,2268.0,1327.96,192,4,2,False,True,False
0,28,4478,10.0,12,2000.0,3323.16,626.54,193,1,3,False,True,False
2,24,4606,32.40158319378901,12,1790.24,11987.241038228825,3260.1,175,0,2,False,False,True
24,29,4052,28.0,12,2100.0,7700.0,5387.88,233,0,3,False,True,False
0,38,6365,32.40158319378901,12,1500.0,897.02,3119.33,177,0,2,False,True,False
29,33,5544,40.0,12,3500.0,30287.39,47584.35,207,1,3,False,True,False
0,29,5209,22.0,12,2856.0,2412.7,716.17,204,0,2,False,True,False
0,32,4410,32.40158319378901,12,2117.29,11987.241038228825,16776.77,211,0,2,False,False,True
0,34,5056,17.0,0,5400.0,12080.22,0.0,246,0,3,False,False,True
0,26,4848,32.40158319378901,12,1522.87,1700.0,3573.02,188,0,2,False,True,False
25,42,3463,22.0,11,2032.17,3000.0,4068.19,204,1,2,False,False,True
0,27,5026,50.0,12,1189.13,13984.88,1286.45,190,0,2,False,True,False
0,37,4417,32.40158319378901,12,700.0,11987.241038228825,3779.23,194,0,0,False,False,True
0,33,3950,30.0,3,1161.0,3555.0,469.99,221,1,3,False,False,True
